transacao_id,valor,hora,merchant_category,device_type,hist_compras_30d,tempo_conta_dias,fraude
87,53.71,3,servicos,desktop,9,775,0
88,91.26,11,vestuario,atm,22,2016,0
89,152.75,10,transporte,desktop,73,561,0
90,147.11,1,alimentacao,mobile,26,1290,0
91,187.15,19,saude,tablet,9,1130,0
92,80.77,23,transporte,desktop,45,1905,0
93,56.51,15,alimentacao,mobile,10,2020,0
94,82.46,16,alimentacao,desktop,32,165,0
95,14.07,5,vestuario,mobile,58,2086,0
96,18.32,20,alimentacao,desktop,8,2259,0
97,21.01,18,servicos,atm,73,1145,0
98,30.05,10,vestuario,mobile,50,210,0
99,139.74,16,alimentacao,atm,73,1267,0
100,33.25,22,vestuario,mobile,58,968,0
101,59.38,14,alimentacao,tablet,77,2377,0
102,375.84,4,alimentacao,desktop,40,419,0
103,60.83,7,vestuario,mobile,1,891,0
104,202.61,4,alimentacao,atm,5,2178,0
105,32.23,7,servicos,atm,14,2821,0
106,71.81,21,vestuario,mobile,8,1783,0
107,31.66,4,alimentacao,desktop,64,7,0
108,62.0,21,saude,mobile,75,2097,0
109,226.86,6,eletronicos,mobile,49,94,0
110,13.46,11,alimentacao,mobile,15,194,0
111,145.16,12,eletronicos,mobile,78,2003,0
112,116.92,3,saude,mobile,24,1111,0
113,46.83,4,transporte,mobile,70,82,0
114,18.34,7,transporte,atm,55,1219,0
115,97.45,1,eletronicos,mobile,35,1138,0
116,50.28,18,alimentacao,tablet,63,1807,0
117,116.27,13,alimentacao,mobile,53,2832,0
118,92.21,20,vestuario,mobile,72,307,0
119,524.24,20,servicos,desktop,48,1997,0
120,69.18,8,servicos,mobile,31,1942,0
121,29.2,19,alimentacao,mobile,7,2930,0
122,109.64,1,transporte,atm,79,1184,0
123,114.66,10,alimentacao,mobile,62,486,0
124,401.46,15,transporte,mobile,8,2717,0
125,225.57,11,vestuario,desktop,48,151,0
126,133.29,17,alimentacao,mobile,66,1349,0
127,450.17,20,servicos,desktop,55,1961,0
128,24.35,10,eletronicos,mobile,21,307,0
129,44.53,6,vestuario,mobile,11,891,0
130,32.48,13,servicos,mobile,74,311,0
131,58.63,20,vestuario,mobile,29,2536,0
132,19.8,23,servicos,desktop,69,763,0
133,181.03,19,servicos,atm,37,1810,0
134,70.5,5,vestuario,desktop,60,720,0
135,17.85,4,alimentacao,mobile,19,2081,1
136,29.45,13,alimentacao,atm,48,2390,0
137,127.09,9,servicos,desktop,44,121,0
138,226.32,14,alimentacao,mobile,17,2167,0
139,809.49,22,saude,mobile,54,1982,0
140,2219.97,13,transporte,mobile,36,230,0
141,142.0,8,servicos,mobile,52,793,0
142,30.31,20,transporte,mobile,2,2554,0
143,8.63,10,saude,mobile,9,1330,0
144,120.84,14,alimentacao,atm,56,289,0
145,36.81,3,transporte,mobile,79,1926,0
146,57.0,12,servicos,mobile,9,2357,0
147,45.91,10,alimentacao,atm,2,1300,0
148,77.1,2,alimentacao,mobile,20,335,0
149,290.78,5,servicos,mobile,3,392,0
150,106.99,16,servicos,mobile,19,1129,0
151,75.6,4,alimentacao,desktop,55,1453,0
152,28.81,3,vestuario,mobile,63,2253,0
153,14.27,1,alimentacao,desktop,50,2044,0
154,52.72,0,alimentacao,tablet,32,761,1
155,84.85,10,vestuario,desktop,12,2069,0
156,629.37,11,alimentacao,tablet,42,340,0
157,103.89,14,eletronicos,desktop,77,553,0
158,265.34,13,alimentacao,desktop,16,2361,0
159,51.98,12,servicos,mobile,43,2702,0
160,24.45,23,vestuario,mobile,26,2073,0
161,31.14,5,alimentacao,mobile,28,1369,0
162,40.54,17,saude,mobile,40,2673,0
163,935.72,1,servicos,mobile,13,1060,0
164,36.47,20,alimentacao,desktop,15,1925,0
165,226.41,8,saude,mobile,3,2057,0
166,33.34,8,alimentacao,desktop,55,222,0
167,250.82,3,alimentacao,mobile,72,2877,0
168,137.48,12,transporte,atm,35,1916,0
169,75.77,9,alimentacao,mobile,49,722,0
170,86.07,23,vestuario,desktop,78,2467,0
171,43.8,4,vestuario,desktop,60,1143,0
172,147.04,10,servicos,mobile,19,251,0
173,54.57,21,alimentacao,tablet,62,2027,0
174,23.38,19,alimentacao,atm,31,407,0
175,22.07,18,transporte,desktop,76,1791,0
176,108.84,12,alimentacao,atm,73,2033,0
177,511.32,20,saude,mobile,3,471,0
178,107.34,5,servicos,atm,70,2374,0
179,79.0,19,servicos,tablet,19,1372,0
180,123.27,13,servicos,desktop,38,1060,0
181,378.65,8,alimentacao,tablet,59,306,0
182,114.59,5,alimentacao,desktop,9,2206,0
183,57.28,12,transporte,mobile,1,493,0
184,303.97,0,servicos,desktop,32,502,0
185,144.26,17,transporte,mobile,46,797,0
186,487.52,5,alimentacao,desktop,46,1332,0
187,110.12,9,vestuario,mobile,76,2637,0
188,23.41,4,alimentacao,desktop,20,2244,0
189,19.99,11,eletronicos,mobile,56,2213,0
190,553.37,8,alimentacao,mobile,15,597,0
191,599.46,4,eletronicos,mobile,35,1944,1
192,73.89,21,transporte,mobile,42,1047,0
193,59.06,18,servicos,desktop,34,1422,0
194,449.25,9,servicos,mobile,14,1887,0
195,26.64,1,alimentacao,mobile,15,500,1
196,33.64,20,servicos,mobile,69,1038,0
197,182.67,16,servicos,mobile,76,1186,0
198,58.32,13,vestuario,mobile,5,2622,0
199,89.51,14,saude,mobile,18,2901,0
200,75.2,0,servicos,desktop,78,2870,0
201,130.49,11,alimentacao,desktop,9,1583,0
202,423.36,4,transporte,atm,43,1927,0
203,99.45,15,transporte,mobile,23,2148,0
204,182.79,22,eletronicos,mobile,78,2347,0
205,9.44,12,saude,mobile,59,2029,0
206,85.32,14,vestuario,desktop,60,2720,0
207,35.6,16,transporte,mobile,5,1149,0
208,23.55,22,saude,mobile,12,2105,0
209,34.26,0,servicos,desktop,63,1832,0
210,62.33,7,alimentacao,mobile,18,2320,0
211,246.53,6,saude,mobile,34,2788,0
212,20.93,17,transporte,desktop,8,241,0
213,93.1,10,eletronicos,tablet,1,2558,0
214,52.85,18,eletronicos,mobile,58,2471,0
215,62.78,11,saude,mobile,14,2610,0
216,271.25,23,alimentacao,mobile,13,824,0
217,162.7,18,transporte,mobile,67,1737,0
218,391.95,0,vestuario,mobile,57,213,0
219,75.95,23,servicos,mobile,17,183,0
220,41.87,22,alimentacao,mobile,68,1768,0
221,70.37,1,alimentacao,mobile,77,2912,0
222,117.54,9,saude,desktop,32,681,0
223,109.31,23,servicos,tablet,36,2371,0
224,27.31,20,transporte,mobile,52,240,0
225,99.44,11,transporte,desktop,11,194,0
226,115.71,13,eletronicos,atm,71,1829,0
227,1435.43,0,vestuario,mobile,10,837,0
228,709.48,13,vestuario,desktop,60,296,0
229,35.21,15,servicos,mobile,46,2744,0
230,65.62,8,alimentacao,atm,10,2661,0
231,18.0,7,servicos,mobile,35,44,0
232,47.0,19,alimentacao,mobile,23,2907,0
233,127.38,10,servicos,atm,74,55,0
234,339.15,6,alimentacao,desktop,42,2214,0
235,40.37,8,alimentacao,mobile,29,2351,0
236,43.84,11,alimentacao,desktop,21,863,0
237,8.48,6,alimentacao,tablet,11,408,0
238,75.27,13,transporte,mobile,40,1688,0
239,27.98,20,vestuario,mobile,40,2657,0
240,50.28,17,servicos,mobile,76,95,0
241,34.31,5,eletronicos,atm,51,2553,0
242,81.15,11,eletronicos,mobile,36,1864,0
243,13.02,13,transporte,mobile,29,2960,0
244,17.93,16,servicos,mobile,20,792,0
245,936.52,18,alimentacao,mobile,51,1934,0
246,21.84,11,transporte,mobile,11,1365,0
247,26.94,7,alimentacao,mobile,0,1904,0
248,678.99,15,alimentacao,mobile,72,537,0
249,2198.6,3,vestuario,mobile,2,1493,0
250,24.81,16,alimentacao,mobile,18,2959,0
251,60.03,21,alimentacao,mobile,44,2532,0
252,131.07,17,servicos,mobile,15,623,0
253,602.79,10,alimentacao,desktop,53,177,0
254,30.4,19,vestuario,mobile,44,1251,0
255,68.73,12,transporte,mobile,6,687,0
256,211.68,12,servicos,desktop,36,764,0
257,145.22,20,servicos,desktop,66,548,0
258,59.51,4,alimentacao,desktop,30,1625,0
259,77.7,18,servicos,atm,54,281,0
260,19.84,16,transporte,mobile,46,2716,0
261,69.27,12,alimentacao,mobile,36,92,0
262,67.15,1,vestuario,mobile,45,491,0
263,116.21,18,servicos,mobile,38,1686,0
264,48.87,5,transporte,atm,5,423,0
265,151.21,21,transporte,desktop,34,1512,0
266,274.24,19,alimentacao,desktop,33,223,0
267,106.8,8,vestuario,atm,62,2610,0
268,132.55,10,saude,tablet,57,1768,0
269,95.44,0,transporte,mobile,45,911,0
270,90.03,11,saude,tablet,30,1806,0
271,40.7,1,alimentacao,mobile,50,1622,0
272,127.5,23,servicos,mobile,79,2464,0
273,80.88,15,saude,mobile,66,2179,0
274,900.08,5,vestuario,atm,18,2508,1
275,508.11,19,alimentacao,desktop,22,2591,0
276,137.61,0,transporte,mobile,39,306,0
277,38.89,13,alimentacao,tablet,52,2307,0
278,26.48,2,vestuario,mobile,53,2731,0
279,333.7,1,saude,desktop,62,595,0
280,120.18,5,transporte,mobile,43,2488,0
281,152.65,7,alimentacao,mobile,65,1831,0
282,13.21,17,alimentacao,mobile,3,1942,0
283,249.68,21,vestuario,tablet,17,2139,0
284,148.39,18,vestuario,atm,41,1041,0
285,26.54,17,alimentacao,mobile,41,2693,0
286,53.59,13,servicos,mobile,77,2237,0
287,120.31,8,alimentacao,mobile,52,1316,0
288,95.37,6,vestuario,desktop,32,1862,0
289,65.28,22,transporte,mobile,46,2862,0
290,80.33,12,alimentacao,desktop,9,1059,0
291,68.23,13,vestuario,mobile,31,2679,0
292,106.47,0,vestuario,mobile,1,40,1
293,454.25,10,transporte,atm,12,2381,0
294,5.35,16,servicos,desktop,32,1777,0
295,69.37,11,eletronicos,mobile,0,2130,0
296,109.31,14,alimentacao,mobile,14,1729,0
297,124.66,19,saude,mobile,71,1436,0
298,59.79,0,saude,mobile,66,464,0
299,13.03,21,alimentacao,mobile,45,729,0
300,129.13,19,saude,desktop,76,2719,0
301,601.9,10,servicos,mobile,2,1220,0
302,16.66,18,alimentacao,mobile,75,478,0
303,232.81,1,eletronicos,mobile,39,387,0
304,62.72,7,alimentacao,mobile,29,862,0
305,84.15,2,vestuario,mobile,63,2195,0
306,28.27,15,saude,tablet,36,1116,0
307,62.31,20,transporte,mobile,48,1291,0
308,376.17,14,eletronicos,desktop,25,2049,0
309,170.87,17,alimentacao,mobile,41,1816,0
310,605.19,3,eletronicos,mobile,10,245,0
311,328.7,22,servicos,mobile,17,1174,0
312,145.91,4,alimentacao,desktop,44,2107,0
313,612.98,12,vestuario,mobile,75,2128,0
314,145.9,16,transporte,desktop,14,1244,0
315,223.81,20,servicos,mobile,46,644,0
316,64.96,22,servicos,desktop,4,549,0
317,96.85,14,vestuario,mobile,40,270,0
318,41.8,13,transporte,mobile,67,337,0
319,267.35,10,vestuario,desktop,27,2909,0
320,24.63,13,vestuario,mobile,63,1237,0
321,212.85,16,vestuario,mobile,31,962,0
322,72.99,15,vestuario,desktop,74,1338,0
323,326.48,14,servicos,desktop,50,1552,0
324,205.6,10,alimentacao,desktop,26,412,0
325,666.95,4,alimentacao,mobile,21,2712,0
326,201.11,1,saude,mobile,69,1447,0
327,15.97,10,alimentacao,mobile,38,1687,0
328,83.63,9,saude,mobile,31,1507,0
329,24.8,14,vestuario,mobile,46,2812,0
330,50.9,21,saude,mobile,5,2943,0
331,474.54,16,vestuario,mobile,14,378,0
332,181.51,19,servicos,mobile,36,2140,0
333,41.73,13,servicos,mobile,23,490,0
334,29.52,22,eletronicos,mobile,44,37,0
335,93.32,22,transporte,mobile,27,1656,0
336,23.61,3,alimentacao,mobile,34,1431,0
337,43.02,15,alimentacao,desktop,62,1476,0
338,126.88,12,saude,mobile,62,65,0
339,320.81,23,alimentacao,mobile,23,1931,0
340,175.85,14,servicos,tablet,28,1534,0
341,7.24,0,eletronicos,mobile,51,175,0
342,125.81,5,transporte,mobile,73,1014,0
343,97.44,3,saude,desktop,43,405,0
344,141.92,4,alimentacao,desktop,5,2710,0
345,532.63,2,vestuario,atm,47,2226,0
346,9.3,18,eletronicos,tablet,57,1480,0
347,46.98,11,alimentacao,desktop,74,262,0
348,172.43,16,alimentacao,mobile,74,2549,0
349,15.8,23,vestuario,mobile,55,1065,0
350,456.48,15,alimentacao,mobile,44,1752,0
351,134.99,11,servicos,mobile,13,2160,0
352,228.43,6,vestuario,atm,70,1190,0
353,48.04,18,alimentacao,mobile,38,2916,0
354,220.33,12,alimentacao,tablet,55,689,0
355,291.58,18,alimentacao,mobile,58,1030,0
356,116.3,0,servicos,mobile,1,550,0
357,116.49,3,eletronicos,tablet,29,1031,0
358,121.19,3,alimentacao,mobile,53,2383,0
359,34.82,16,eletronicos,mobile,37,1415,0
360,76.53,12,eletronicos,mobile,52,2649,0
361,76.11,7,vestuario,mobile,44,2671,0
362,137.24,7,alimentacao,mobile,0,972,0
363,270.37,14,alimentacao,desktop,24,2385,0
364,28.1,23,transporte,tablet,32,1484,0
365,78.45,23,vestuario,desktop,30,1271,0
366,459.25,11,vestuario,tablet,3,863,0
367,39.73,16,alimentacao,tablet,1,200,0
368,36.43,2,alimentacao,mobile,23,1366,0
369,112.45,22,vestuario,desktop,68,2005,0
370,227.88,0,alimentacao,desktop,78,2608,0
371,91.16,8,vestuario,mobile,66,1236,0
372,388.33,17,transporte,mobile,75,414,0
373,231.01,23,alimentacao,desktop,74,1406,0
374,227.24,4,eletronicos,atm,54,875,0
375,165.59,15,alimentacao,atm,9,2756,0
376,1164.93,4,vestuario,mobile,29,2086,0
377,71.83,1,alimentacao,desktop,58,2716,0
378,9.94,10,transporte,mobile,31,932,0
379,525.67,13,eletronicos,tablet,21,1336,0
380,54.41,6,alimentacao,desktop,3,244,0
381,101.36,23,vestuario,atm,27,406,0
382,380.13,14,servicos,atm,27,1123,0
383,15.45,10,saude,mobile,65,1191,0
384,22.72,11,alimentacao,atm,62,2029,0
385,15.47,11,alimentacao,desktop,9,646,0
386,37.58,2,transporte,mobile,41,2952,0
387,146.0,14,servicos,mobile,72,2341,0
388,160.23,18,transporte,desktop,38,2676,0
389,121.99,10,transporte,mobile,76,920,0
390,19.03,10,servicos,mobile,7,1686,0
391,7.09,21,alimentacao,desktop,25,1553,0
392,95.56,14,eletronicos,mobile,73,2332,0
393,53.57,7,eletronicos,mobile,57,2544,0
394,149.21,0,vestuario,desktop,22,1714,0
395,194.83,19,servicos,mobile,71,2923,0
396,104.8,15,transporte,desktop,30,1482,0
397,207.71,15,vestuario,mobile,63,823,0
398,115.83,6,eletronicos,tablet,26,512,0
399,161.27,4,alimentacao,mobile,27,1132,0
400,41.47,11,servicos,tablet,26,877,0
401,73.88,18,servicos,desktop,29,601,0
402,111.77,7,saude,tablet,47,1356,0
403,221.98,12,servicos,mobile,64,785,0
404,58.37,23,alimentacao,mobile,50,2956,0
405,159.7,5,transporte,mobile,2,914,0
406,67.19,5,transporte,mobile,47,1826,0
407,79.1,5,alimentacao,mobile,34,2257,0
408,224.18,21,transporte,desktop,5,2834,0
409,10.05,12,transporte,mobile,26,2061,0
410,21.63,22,alimentacao,mobile,77,776,0
411,17.63,22,servicos,mobile,27,1668,0
412,6.91,10,alimentacao,desktop,57,207,0
413,42.69,1,eletronicos,desktop,15,811,0
414,205.28,7,servicos,mobile,70,2935,0
415,65.8,13,vestuario,mobile,65,15,0
416,111.9,9,alimentacao,mobile,12,989,0
417,298.31,0,vestuario,desktop,55,161,0
418,387.79,23,servicos,desktop,74,1606,0
419,83.43,7,servicos,mobile,72,2253,0
420,398.99,14,transporte,mobile,57,214,0
421,99.62,22,alimentacao,desktop,58,387,0
422,35.83,13,vestuario,desktop,40,2581,0
423,46.81,16,alimentacao,mobile,11,837,0
424,17.66,0,servicos,mobile,1,3,0
425,33.89,16,vestuario,mobile,23,295,0
426,60.71,20,servicos,desktop,20,2718,0
427,217.88,22,saude,mobile,73,2770,0
428,597.56,2,vestuario,desktop,67,496,0
429,19.68,5,saude,desktop,25,841,0
430,138.67,1,vestuario,tablet,30,551,0
431,28.66,22,alimentacao,atm,59,1475,0
432,151.74,6,servicos,mobile,54,2477,0
433,77.93,12,vestuario,desktop,70,2278,0
434,12.01,11,saude,desktop,58,1159,0
435,249.92,16,alimentacao,tablet,55,2086,0
436,46.27,21,transporte,mobile,62,768,0
437,50.03,7,servicos,mobile,71,2727,0
438,27.75,18,alimentacao,atm,30,1789,0
439,43.83,6,vestuario,mobile,20,2751,0
440,144.12,4,eletronicos,atm,72,763,0
441,73.1,2,alimentacao,mobile,12,2850,0
442,129.22,8,alimentacao,mobile,23,860,0
443,134.04,13,servicos,atm,10,2053,0
444,384.8,18,alimentacao,desktop,66,137,0
445,61.74,20,servicos,desktop,73,692,0
446,17.73,12,servicos,mobile,33,1618,0
447,291.18,9,vestuario,mobile,7,1513,0
448,62.51,4,transporte,mobile,18,389,0
449,306.76,21,alimentacao,desktop,46,30,0
450,137.24,9,servicos,mobile,27,2511,0
451,77.93,18,alimentacao,mobile,60,734,0
452,132.11,15,alimentacao,mobile,63,2253,0
453,769.79,22,saude,atm,34,520,0
454,884.2,23,transporte,tablet,49,857,0
455,97.16,16,alimentacao,mobile,5,51,0
456,107.36,15,saude,atm,10,1601,0
457,294.08,3,alimentacao,mobile,26,1551,0
458,35.51,0,alimentacao,mobile,9,1732,0
459,129.85,13,transporte,mobile,1,2245,0
460,87.49,16,servicos,tablet,54,1999,0
461,127.14,17,servicos,mobile,1,608,0
462,35.99,6,servicos,mobile,19,1257,0
463,15.67,12,saude,atm,57,229,0
464,9.2,20,alimentacao,desktop,16,1957,0
465,26.33,2,vestuario,desktop,18,1189,0
466,54.35,9,alimentacao,desktop,59,508,0
467,65.2,22,saude,desktop,1,2633,0
468,758.21,4,saude,mobile,25,1413,0
469,303.87,7,transporte,desktop,42,158,0
470,31.24,11,servicos,mobile,5,282,0
471,131.96,16,vestuario,mobile,52,875,0
472,57.52,6,alimentacao,atm,33,2823,0
473,65.84,19,vestuario,mobile,24,295,0
474,110.37,5,saude,mobile,45,1204,0
475,177.88,8,transporte,mobile,3,1193,0
476,61.98,13,alimentacao,tablet,48,1852,0
477,290.1,0,saude,atm,37,1797,0
478,25.63,18,transporte,mobile,4,1469,0
479,90.65,16,transporte,mobile,62,2420,0
480,1567.82,20,servicos,desktop,36,81,0
481,115.05,6,vestuario,desktop,5,1180,0
482,435.52,9,transporte,mobile,28,189,0
483,99.55,21,alimentacao,mobile,59,903,0
484,170.52,1,servicos,desktop,35,794,0
485,84.57,11,eletronicos,mobile,30,2651,0
486,74.63,11,vestuario,desktop,3,2025,0
487,38.19,10,servicos,mobile,5,720,0
488,144.51,10,alimentacao,tablet,23,1924,0
489,35.28,17,servicos,desktop,21,2497,0
490,187.19,4,servicos,desktop,51,564,0
491,297.02,21,saude,desktop,37,1694,0
492,134.72,21,alimentacao,mobile,10,1466,0
493,65.7,4,transporte,mobile,52,2742,0
494,148.32,23,vestuario,mobile,76,1101,0
495,64.1,6,saude,desktop,68,2036,0
496,251.92,1,saude,tablet,79,1706,0
497,12.01,9,transporte,mobile,38,969,0
498,62.23,19,eletronicos,desktop,28,1004,0
499,10.08,20,alimentacao,mobile,4,2585,0
500,17.38,15,vestuario,mobile,54,2688,0
501,403.53,19,servicos,mobile,35,781,0
502,240.98,6,servicos,atm,50,1417,0
503,40.8,21,transporte,mobile,24,428,0
504,17.24,15,saude,mobile,13,1280,0
505,3.45,3,alimentacao,desktop,55,2602,0
506,49.51,3,eletronicos,mobile,31,2110,0
507,1290.08,6,vestuario,mobile,42,1457,0
508,145.24,1,eletronicos,mobile,78,2342,0
509,48.64,6,servicos,mobile,22,1658,0
510,150.14,23,vestuario,mobile,10,1313,0
511,16.17,5,alimentacao,mobile,56,51,0
512,64.91,15,alimentacao,desktop,46,327,0
513,100.43,23,eletronicos,tablet,31,1616,0
514,81.88,6,vestuario,atm,47,256,0
515,214.84,16,eletronicos,mobile,73,35,0
516,131.51,10,transporte,mobile,13,981,1
517,187.76,6,alimentacao,mobile,63,1668,0
518,42.22,22,servicos,mobile,42,2198,0
519,241.68,15,eletronicos,desktop,64,2897,0
520,540.14,10,eletronicos,mobile,73,1961,0
521,30.96,19,eletronicos,desktop,12,2925,0
522,33.9,21,alimentacao,tablet,9,863,0
523,391.26,18,alimentacao,mobile,0,1973,0
524,72.93,20,alimentacao,atm,15,14,0
525,421.66,7,servicos,mobile,27,408,0
526,55.32,8,alimentacao,atm,20,1928,0
527,446.1,5,alimentacao,desktop,65,948,0
528,104.03,16,saude,mobile,60,1693,0
529,119.59,19,transporte,mobile,28,2828,0
530,503.3,15,eletronicos,mobile,46,2317,0
531,60.46,14,transporte,desktop,25,1056,0
532,31.97,18,alimentacao,mobile,40,2058,0
533,54.96,4,alimentacao,tablet,23,2770,0
534,148.05,8,servicos,mobile,63,741,0
535,16.08,16,eletronicos,atm,18,1665,0
536,181.49,1,servicos,mobile,78,2198,0
537,49.77,21,saude,desktop,74,1977,0
538,318.17,4,alimentacao,tablet,15,1459,0
539,6.46,18,vestuario,mobile,45,1299,0
540,37.89,14,alimentacao,mobile,64,1724,0
541,14.08,20,eletronicos,desktop,67,1489,0
542,36.28,18,servicos,desktop,29,1071,0
543,118.21,12,alimentacao,tablet,43,2623,0
544,73.91,18,saude,mobile,11,2371,0
545,68.12,8,vestuario,tablet,20,1923,0
546,75.56,14,transporte,atm,20,589,0
547,112.59,21,alimentacao,desktop,22,1543,0
548,29.68,2,vestuario,mobile,31,614,0
549,195.89,8,eletronicos,mobile,55,488,0
550,186.59,0,alimentacao,atm,71,713,0
551,137.49,12,eletronicos,desktop,46,473,0
552,166.03,18,alimentacao,desktop,38,2368,0
553,124.72,0,saude,atm,56,1542,0
554,844.36,13,transporte,mobile,49,2184,0
555,81.79,9,eletronicos,desktop,35,2929,0
556,64.21,18,servicos,desktop,2,809,0
557,39.3,5,servicos,tablet,43,586,0
558,28.92,3,servicos,desktop,5,432,0
559,22.9,2,saude,mobile,48,56,0
560,33.86,9,alimentacao,mobile,75,85,0
561,83.28,11,transporte,atm,63,1785,0
562,130.02,22,vestuario,desktop,67,2051,0
563,95.23,11,alimentacao,mobile,36,878,0
564,38.78,4,servicos,atm,39,1617,0
565,242.31,16,alimentacao,mobile,42,621,0
566,203.03,1,saude,mobile,16,2107,0
567,75.52,8,servicos,atm,78,2133,0
568,43.89,15,vestuario,desktop,3,2125,0
569,164.56,6,transporte,tablet,79,1536,0
570,110.69,14,saude,tablet,78,2534,0
571,18.3,10,servicos,mobile,75,251,0
572,83.53,22,servicos,mobile,0,1248,0
573,120.09,6,servicos,tablet,76,190,0
574,33.46,21,alimentacao,mobile,19,2481,0
575,110.92,15,alimentacao,desktop,20,221,0
576,18.17,17,alimentacao,mobile,54,1307,0
577,391.43,4,vestuario,mobile,31,558,0
578,355.22,0,vestuario,mobile,75,2123,0
579,68.19,17,transporte,desktop,39,1207,0
580,134.26,11,saude,desktop,9,1653,0
581,6.35,7,alimentacao,mobile,19,2886,0
582,25.23,21,servicos,mobile,61,2764,0
583,65.16,7,eletronicos,mobile,46,1286,0
584,27.68,10,transporte,desktop,26,1111,0
585,197.52,17,alimentacao,mobile,17,898,0
586,809.99,23,servicos,desktop,54,2069,0
587,24.67,21,servicos,desktop,21,2984,0
588,35.83,15,transporte,mobile,7,1794,0
589,116.63,2,eletronicos,desktop,44,1695,0
590,529.66,2,vestuario,tablet,69,2996,0
591,23.46,16,transporte,mobile,24,571,0
592,118.38,12,vestuario,mobile,56,232,0
593,667.43,3,transporte,mobile,35,285,0
594,14.63,16,servicos,desktop,76,1794,0
